avibaseid,common_name,order,family,scientific_name,status
B7159EF0DE54C384,Bar-headed Goose,Anseriformes, Anatidae,Anser indicus,Introduced species
D3A260BCA65503C6,Snow Goose,Anseriformes, Anatidae,Anser caerulescens,Rare/Accidental
7A24F57F87F66E97,Ross's Goose,Anseriformes, Anatidae,Anser rossii,Uncertain origin
4AED44E819A43204,Graylag Goose,Anseriformes, Anatidae,Anser anser,
466E9077BE220EBE,Greater White-fronted Goose,Anseriformes, Anatidae,Anser albifrons,
184D232983E7AD10,Lesser White-fronted Goose,Anseriformes, Anatidae,Anser erythropus,Rare/AccidentalVulnerable
BDB497A352D152DB,Taiga Bean-Goose,Anseriformes, Anatidae,Anser fabalis,
AD849FCBCC68A520,Tundra Bean-Goose,Anseriformes, Anatidae,Anser serrirostris,
AFA7EE7470F000E9,Pink-footed Goose,Anseriformes, Anatidae,Anser brachyrhynchus,
3E04020B54C14FCC,Brant,Anseriformes, Anatidae,Branta bernicla,
3163ED86A508BB83,Barnacle Goose,Anseriformes, Anatidae,Branta leucopsis,
60214D4970BA4158,Cackling Goose,Anseriformes, Anatidae,Branta hutchinsii,Introduced species
B59E18633E2EFD25,Canada Goose,Anseriformes, Anatidae,Branta canadensis,Introduced species
0D280B3F11B099B2,Red-breasted Goose,Anseriformes, Anatidae,Branta ruficollis,Rare/AccidentalVulnerable
694C127A5D849FFE,Mute Swan,Anseriformes, Anatidae,Cygnus olor,
0BCBA6B9CC19E7BA,Tundra Swan,Anseriformes, Anatidae,Cygnus columbianus,
BDDB5670D2D20A55,Whooper Swan,Anseriformes, Anatidae,Cygnus cygnus,
DA2F24E310CF72A6,Egyptian Goose,Anseriformes, Anatidae,Alopochen aegyptiaca,Introduced species
1F9D883EB44DEFD6,Ruddy Shelduck,Anseriformes, Anatidae,Tadorna ferruginea,Rare/Accidental
5EAB32D3007896F3,Common Shelduck,Anseriformes, Anatidae,Tadorna tadorna,
E1714A09EA1DFD1D,Mandarin Duck,Anseriformes, Anatidae,Aix galericulata,Introduced species
63EABB42903040B4,Baikal Teal,Anseriformes, Anatidae,Sibirionetta formosa,Uncertain origin
F577BA0F5BB7BD3F,Garganey,Anseriformes, Anatidae,Spatula querquedula,
90E2543E9A4ABA0A,Blue-winged Teal,Anseriformes, Anatidae,Spatula discors,Rare/Accidental
ED4CE8E7CFF43696,Northern Shoveler,Anseriformes, Anatidae,Spatula clypeata,
C235A4D712BB8855,Gadwall,Anseriformes, Anatidae,Mareca strepera,
978D448531E03998,Falcated Duck,Anseriformes, Anatidae,Mareca falcata,Rare/Accidental
15EE0D3685082E13,Eurasian Wigeon,Anseriformes, Anatidae,Mareca penelope,
D201EB7230F20770,American Wigeon,Anseriformes, Anatidae,Mareca americana,Rare/Accidental
E21470F9073AC877,Eastern Spot-billed Duck,Anseriformes, Anatidae,Anas zonorhyncha,Uncertain origin
85625D75F2524457,Mallard,Anseriformes, Anatidae,Anas platyrhynchos,
C732CB106EE8BAE8,American Black Duck,Anseriformes, Anatidae,Anas rubripes,Rare/Accidental
56CCA7179C9FA71D,Northern Pintail,Anseriformes, Anatidae,Anas acuta,
BC6C3CCE5C1B5D9B,Green-winged Teal,Anseriformes, Anatidae,Anas crecca,
6362936EA12874F1,Marbled Duck,Anseriformes, Anatidae,Marmaronetta angustirostris,Uncertain originNear-threatened
3EC2CDA952B4A18C,Red-crested Pochard,Anseriformes, Anatidae,Netta rufina,
1929E1E16E073570,Canvasback,Anseriformes, Anatidae,Aythya valisineria,Rare/Accidental
3072CC168280168B,Redhead,Anseriformes, Anatidae,Aythya americana,
A96692E0C9F7508B,Common Pochard,Anseriformes, Anatidae,Aythya ferina,Vulnerable
0783A7EA9C26947D,Ring-necked Duck,Anseriformes, Anatidae,Aythya collaris,Rare/Accidental
7CF91527F5832F30,Ferruginous Duck,Anseriformes, Anatidae,Aythya nyroca,Near-threatened
67CEA1C1FC88F1DB,Tufted Duck,Anseriformes, Anatidae,Aythya fuligula,
25C94A8F90A829F7,Greater Scaup,Anseriformes, Anatidae,Aythya marila,
50566E50C91B8686,Lesser Scaup,Anseriformes, Anatidae,Aythya affinis,Rare/Accidental
BA07D0168474EB92,Steller's Eider,Anseriformes, Anatidae,Polysticta stelleri,Rare/AccidentalVulnerable
F3D7491432CC59E7,King Eider,Anseriformes, Anatidae,Somateria spectabilis,Rare/Accidental
B77377EEB852D0AF,Common Eider,Anseriformes, Anatidae,Somateria mollissima,Near-threatened
BCBD2EAECA774B19,Harlequin Duck,Anseriformes, Anatidae,Histrionicus histrionicus,Rare/Accidental
624078BAC17F8111,Surf Scoter,Anseriformes, Anatidae,Melanitta perspicillata,
BAF44E36E8D647CB,Velvet Scoter,Anseriformes, Anatidae,Melanitta fusca,Vulnerable
4800D6B673F13A48,White-winged Scoter,Anseriformes, Anatidae,Melanitta deglandi,Rare/Accidental
1A601D86C048CBAA,Stejneger's Scoter,Anseriformes, Anatidae,Melanitta stejnegeri,Rare/Accidental
246981996A4998ED,Common Scoter,Anseriformes, Anatidae,Melanitta nigra,
B7B1A5DD94724A05,Black Scoter,Anseriformes, Anatidae,Melanitta americana,Near-threatened
AF0C7BDEC7CEBAAC,Long-tailed Duck,Anseriformes, Anatidae,Clangula hyemalis,Vulnerable
FB7383856D0DB2EA,Bufflehead,Anseriformes, Anatidae,Bucephala albeola,Rare/Accidental
68EA281AF74846D2,Common Goldeneye,Anseriformes, Anatidae,Bucephala clangula,
9456DEDF7E1AADF3,Barrow's Goldeneye,Anseriformes, Anatidae,Bucephala islandica,Rare/Accidental
F1F520368CC95F88,Smew,Anseriformes, Anatidae,Mergellus albellus,
60E6081E3DF8CFA4,Hooded Merganser,Anseriformes, Anatidae,Lophodytes cucullatus,Rare/Accidental
407E2CA886367DBB,Common Merganser,Anseriformes, Anatidae,Mergus merganser,
8DB64266A42FC19B,Red-breasted Merganser,Anseriformes, Anatidae,Mergus serrator,
675EEA7FBD490CED,Ruddy Duck,Anseriformes, Anatidae,Oxyura jamaicensis,
2E40EF2C53646E30,White-headed Duck,Anseriformes, Anatidae,Oxyura leucocephala,Uncertain originEndangered
FC3D07C64FF2C915,Willow Ptarmigan,Galliformes, Phasianidae,Lagopus lagopus,
79B161B7017DD7ED,Rock Ptarmigan,Galliformes, Phasianidae,Lagopus muta,
C3221EE24B948F50,Western Capercaillie,Galliformes, Phasianidae,Tetrao urogallus,
D4441CD6E9C993EF,Black Grouse,Galliformes, Phasianidae,Lyrurus tetrix,
C013A20E7F91419D,Gray Partridge,Galliformes, Phasianidae,Perdix perdix,
093AC1FC5140E629,Golden Pheasant,Galliformes, Phasianidae,Chrysolophus pictus,Introduced species
DDF032E83155CBB2,Lady Amherst's Pheasant,Galliformes, Phasianidae,Chrysolophus amherstiae,Introduced species
2FA39DCD42F80BC9,Ring-necked Pheasant,Galliformes, Phasianidae,Phasianus colchicus,Introduced species
CAFE345DCABD8BF8,Common Quail,Galliformes, Phasianidae,Coturnix coturnix,
F71E0BE60C5B3C98,Red-legged Partridge,Galliformes, Phasianidae,Alectoris rufa,Introduced speciesNear-threatened
BBA263C235B15B88,Rock Pigeon,Columbiformes, Columbidae,Columba livia,
68E4C0D1404A46D8,Stock Dove,Columbiformes, Columbidae,Columba oenas,
760F307A30689D66,Common Wood-Pigeon,Columbiformes, Columbidae,Columba palumbus,
D397FE255A606DE8,Passenger Pigeon,Columbiformes, Columbidae,Ectopistes migratorius,Rare/AccidentalExtinct
5788552B694ED7B5,European Turtle-Dove,Columbiformes, Columbidae,Streptopelia turtur,Vulnerable
6658BAC574088183,Oriental Turtle-Dove,Columbiformes, Columbidae,Streptopelia orientalis,Rare/Accidental
0C1EFC9B44C459D3,Eurasian Collared-Dove,Columbiformes, Columbidae,Streptopelia decaocto,
00124D987C95811B,Mourning Dove,Columbiformes, Columbidae,Zenaida macroura,Rare/Accidental
BDCB55F1196CAC6A,Pallas's Sandgrouse,Pterocliformes, Pteroclidae,Syrrhaptes paradoxus,Rare/Accidental
942BC61855ED501E,Spotted Sandgrouse,Pterocliformes, Pteroclidae,Pterocles senegallus,Uncertain origin
C6F33176724AC933,Great Bustard,Otidiformes, Otididae,Otis tarda,Rare/AccidentalEndangered
1BCEB0FD7CDFB06A,Asian Houbara,Otidiformes, Otididae,Chlamydotis macqueenii,Rare/AccidentalVulnerable
56E3016D3370A6D5,Little Bustard,Otidiformes, Otididae,Tetrax tetrax,Rare/AccidentalNear-threatened
3D67C56A490A60AE,Great Spotted Cuckoo,Cuculiformes, Cuculidae,Clamator glandarius,Rare/Accidental
0CF12F8155708DC8,Yellow-billed Cuckoo,Cuculiformes, Cuculidae,Coccyzus americanus,Rare/Accidental
41E9F54BDA04ACBA,Black-billed Cuckoo,Cuculiformes, Cuculidae,Coccyzus erythropthalmus,Rare/Accidental
B3D2C3C5B73EC8E8,Common Cuckoo,Cuculiformes, Cuculidae,Cuculus canorus,
24E39ACD5692DA4A,Common Nighthawk,Caprimulgiformes, Caprimulgidae,Chordeiles minor,Rare/Accidental
6CC3D04BF479A2A2,Red-necked Nightjar,Caprimulgiformes, Caprimulgidae,Caprimulgus ruficollis,Rare/AccidentalNear-threatened
80D4B0FE7FF1D735,Eurasian Nightjar,Caprimulgiformes, Caprimulgidae,Caprimulgus europaeus,
2F7F024457A842B1,Egyptian Nightjar,Caprimulgiformes, Caprimulgidae,Caprimulgus aegyptius,Rare/Accidental
C3AD1AFF63D26461,Chimney Swift,Apodiformes, Apodidae,Chaetura pelagica,Rare/AccidentalVulnerable
EA55CA2791012786,White-throated Needletail,Apodiformes, Apodidae,Hirundapus caudacutus,Rare/Accidental
FA1CAD2906F7C845,Alpine Swift,Apodiformes, Apodidae,Tachymarptis melba,Rare/Accidental
4E6EF3F983079D73,Common Swift,Apodiformes, Apodidae,Apus apus,
332BC664DFABB965,Pallid Swift,Apodiformes, Apodidae,Apus pallidus,Rare/Accidental
E23EBEFB47EB1EB0,Pacific Swift,Apodiformes, Apodidae,Apus pacificus,Rare/Accidental
D209A90C8A90DA51,Little Swift,Apodiformes, Apodidae,Apus affinis,Rare/Accidental
FA9F60196383DBA2,White-rumped Swift,Apodiformes, Apodidae,Apus caffer,Rare/Accidental
DE1D2DF4456931FF,Water Rail,Gruiformes, Rallidae,Rallus aquaticus,
7E2572426E200D08,Corn Crake,Gruiformes, Rallidae,Crex crex,
2CC21529B5674AEB,Sora,Gruiformes, Rallidae,Porzana carolina,Rare/Accidental
460708F99737A6A2,Spotted Crake,Gruiformes, Rallidae,Porzana porzana,
8F82FF8C30667D90,Eurasian Moorhen,Gruiformes, Rallidae,Gallinula chloropus,
B682B2A9C922D4C4,Eurasian Coot,Gruiformes, Rallidae,Fulica atra,
4FB248BAEFEC2868,American Coot,Gruiformes, Rallidae,Fulica americana,Rare/Accidental
53288666B2C70F88,Allen's Gallinule,Gruiformes, Rallidae,Porphyrio alleni,Rare/Accidental
72A4F8EBF168E80D,Purple Gallinule,Gruiformes, Rallidae,Porphyrio martinica,Rare/Accidental
B6838E0C27EAD078,Western Swamphen,Gruiformes, Rallidae,Porphyrio porphyrio,Rare/Accidental
BFAE9B0403627027,Gray-headed Swamphen,Gruiformes, Rallidae,Porphyrio poliocephalus,Uncertain origin
9106EBE6C0914933,Little Crake,Gruiformes, Rallidae,Zapornia parva,Rare/Accidental
34D5B04DE53894FF,Baillon's Crake,Gruiformes, Rallidae,Zapornia pusilla,Rare/Accidental
E196D6F9AB1DFF7E,Sandhill Crane,Gruiformes, Gruidae,Antigone canadensis,Rare/Accidental
99B8841E764117B1,Common Crane,Gruiformes, Gruidae,Grus grus,
C7DB323E37CEDBE6,Eurasian Thick-knee,Charadriiformes, Burhinidae,Burhinus oedicnemus,
3CAEB7CEEC7FFF50,Black-winged Stilt,Charadriiformes, Recurvirostridae,Himantopus himantopus,Rare/Accidental
C73ED2F5D88625BA,Pied Avocet,Charadriiformes, Recurvirostridae,Recurvirostra avosetta,
ED66316522B99A30,Eurasian Oystercatcher,Charadriiformes, Haematopodidae,Haematopus ostralegus,Near-threatened
27903EF7E618A6A2,Black-bellied Plover,Charadriiformes, Charadriidae,Pluvialis squatarola,Vulnerable
25A20BA6F7EA9D9A,European Golden-Plover,Charadriiformes, Charadriidae,Pluvialis apricaria,
2143A8526CA7C809,American Golden-Plover,Charadriiformes, Charadriidae,Pluvialis dominica,Rare/Accidental
07C11CF340D2017A,Pacific Golden-Plover,Charadriiformes, Charadriidae,Pluvialis fulva,Rare/Accidental
20BE9DF14579BD4A,Eurasian Dotterel,Charadriiformes, Charadriidae,Eudromias morinellus,
BCF9A19AFE372627,Killdeer,Charadriiformes, Charadriidae,Charadrius vociferus,Rare/AccidentalNear-threatened
EDA37B7C5D4A25ED,Common Ringed Plover,Charadriiformes, Charadriidae,Charadrius hiaticula,
95E28A57CB50B0D7,Semipalmated Plover,Charadriiformes, Charadriidae,Charadrius semipalmatus,Rare/Accidental
35EC3BBF166AB032,Little Ringed Plover,Charadriiformes, Charadriidae,Thinornis dubius,
F029489ABD9D1334,Northern Lapwing,Charadriiformes, Charadriidae,Vanellus vanellus,Near-threatened
8F8F0CF04F2CB9F8,Gray-headed Lapwing,Charadriiformes, Charadriidae,Vanellus cinereus,Rare/Accidental
D348C2D65FA2DF83,Sociable Lapwing,Charadriiformes, Charadriidae,Vanellus gregarius,Rare/AccidentalCritically endangered
A480FDDF8BBC5443,White-tailed Lapwing,Charadriiformes, Charadriidae,Vanellus leucurus,Rare/Accidental
264D03516760D706,Caspian Plover,Charadriiformes, Charadriidae,Anarhynchus asiaticus,Rare/Accidental
66DA1FB3162F3239,Siberian Sand-Plover,Charadriiformes, Charadriidae,Anarhynchus mongolus,Rare/AccidentalEndangered
828D3D5A6AFE2F26,Tibetan Sand-Plover,Charadriiformes, Charadriidae,Anarhynchus atrifrons,Rare/Accidental
98B9C10B606A4FF1,Greater Sand-Plover,Charadriiformes, Charadriidae,Anarhynchus leschenaultii,Rare/Accidental
AA4385A283B9A81E,Kentish Plover,Charadriiformes, Charadriidae,Anarhynchus alexandrinus,
BF1DA86E0714FD01,Upland Sandpiper,Charadriiformes, Scolopacidae,Bartramia longicauda,Rare/Accidental
F9305BAA638BAEFC,Whimbrel,Charadriiformes, Scolopacidae,Numenius phaeopus,
C00E1EB8C00BCC31,Little Curlew,Charadriiformes, Scolopacidae,Numenius minutus,Rare/Accidental
FB9305DB788ED649,Eskimo Curlew,Charadriiformes, Scolopacidae,Numenius borealis,Rare/AccidentalCritically endangered(possibly extinct)
7A35DE8186E4DF43,Slender-billed Curlew,Charadriiformes, Scolopacidae,Numenius tenuirostris,Rare/AccidentalCritically endangered
3BB5CBA66CF48884,Eurasian Curlew,Charadriiformes, Scolopacidae,Numenius arquata,Near-threatened
